Age,Annual_Income,Credit_Score,Loan_Amount,Employment_Years,Loan_Approved
50,6956,439,875,0,0
49,72026,551,20429,3,1
31,30841,420,-14479,4,0
32,28598,850,11849,0,1
23,76510,652,4672,5,0
37,11398,569,13946,0,0
27,24437,678,4038,0,1
28,21720,879,-1795,1,1
34,22387,515,17060,0,0
25,16173,402,16428,0,0
37,42924,788,15991,0,1
35,34236,569,-1823,2,0
42,39906,589,21034,0,1
32,22624,914,7654,2,1
23,-18006,532,5347,0,0
16,55055,625,16884,3,1
24,42825,452,-5212,4,0
40,34300,550,27006,0,0
24,46507,834,15536,3,1
41,35539,606,423,1,1
30,35149,799,6985,4,1
43,50169,798,15558,2,1
43,21003,514,14319,0,0
38,-551,430,22678,0,0
52,71976,996,29386,12,1
42,47476,738,3648,4,1
40,39547,529,12421,2,0
28,10691,667,-16264,7,1
26,16983,524,17959,0,0
38,37470,478,-9388,4,0
35,55560,336,5865,5,0
36,46587,754,10603,4,1
35,15756,505,49287,0,0
38,51984,650,6889,3,0
45,23841,502,-21245,3,0
53,-2157,608,-12284,0,0
30,35193,387,22445,1,0
41,34740,497,955,2,0
48,-13994,467,45871,0,0
28,6841,572,850,0,0
38,43027,862,17403,1,1
41,27770,828,-3486,0,1
46,10797,564,14342,0,0
34,4955,404,5069,0,0
29,17578,587,15179,0,0
45,61522,683,11226,4,1
20,21934,494,21703,0,0
34,49851,748,10128,6,1
45,14680,535,36503,0,0
24,44973,773,21831,0,1
31,39980,820,10083,1,1
30,20706,407,-16021,3,0
40,22849,614,31997,0,0
40,29071,807,4628,1,1
31,27505,619,40344,0,0
28,37603,773,2873,1,1
21,8215,415,-38518,4,0
34,23880,436,22989,0,0
37,43305,891,13758,4,1
39,57003,703,14584,3,1
35,48288,931,5554,7,1
45,36218,348,17771,2,0
45,27639,895,12979,0,1
32,46053,722,8080,5,1
29,35962,763,8284,3,1
33,33481,453,27052,0,0
41,68454,763,22136,9,1
33,64841,668,7275,8,1
46,21824,709,-7527,0,1
53,50588,798,12899,10,1
22,41344,567,-38073,6,0
33,35415,873,-3120,4,1
27,41811,344,-17633,6,0
36,45138,864,30038,0,1
39,42440,564,9118,2,0
42,32423,642,23754,0,0
29,28212,563,13980,0,0
33,18441,577,23457,0,0
47,33060,547,5282,2,0
29,24669,610,-11147,2,0
41,20825,790,-5255,5,1
24,-3965,515,34440,0,0
27,15456,845,4026,0,1
39,43232,669,1854,6,1
43,-1140,572,4887,0,0
28,33868,595,5732,1,0
32,28494,680,-15163,1,1
28,56659,493,1101,4,0
38,32133,881,10755,3,1
16,46460,861,2949,5,1
31,53516,601,1994,12,1
33,54871,776,8963,2,1
24,41254,622,-4612,3,0
29,22224,876,-10760,4,1
36,-2597,511,22324,0,0
32,29680,709,1707,0,1
52,45410,725,-446,11,1
33,16762,557,-10996,1,0
8,37733,797,-5011,3,1
36,25276,475,21898,0,0
43,51061,360,18090,3,0
29,42345,568,31171,0,0
39,42097,308,-16037,6,0
28,6132,474,17397,0,0
28,5138,472,9580,0,0
49,27937,686,10296,0,1
31,51042,625,24189,0,1
15,40917,835,4921,11,1
37,23016,650,21983,0,0
50,36679,770,4167,0,1
32,18704,885,11414,0,1
44,45797,645,7772,0,1
21,43737,977,20570,4,1
18,40196,494,5635,3,0
34,27424,794,2200,4,1
38,30397,813,12845,0,1
43,33698,478,-8985,3,0
41,14031,864,-4245,0,1
43,30379,539,4472,2,0
30,19797,695,-10848,5,1
41,39427,602,4109,2,0
30,32084,811,20405,0,1
36,52708,818,17436,3,1
44,17827,746,1029,0,1
38,33786,749,11737,0,1
52,24637,881,-12669,10,1
40,50272,568,25937,1,0
35,28866,862,10417,2,1
42,11465,588,23615,0,0
28,23646,902,9490,4,1
41,55627,875,3387,11,1
41,17389,489,-7069,2,0
35,35210,746,-7077,3,1
25,23857,754,24414,0,0
27,23838,439,-25990,4,0
38,28281,734,12095,0,1
31,57473,949,29567,3,1
26,64362,526,-9996,6,0
27,26337,434,31507,0,0
54,47354,580,-6873,4,0
32,23613,568,-1947,0,1
43,45444,935,19420,0,1
30,27574,867,15380,0,1
38,50717,500,13280,3,0
36,45644,734,18627,0,1
37,-3336,550,57939,0,0
37,70298,403,-10070,7,0
39,51360,673,10277,1,1
22,78718,449,-12166,8,0
35,11417,865,6515,0,1
43,20665,684,14890,0,0
43,16602,523,31063,0,0
40,3913,878,-12077,0,1
31,30712,826,10069,0,1
23,33291,719,-19,3,1
36,34574,442,-7839,4,0
27,49754,518,11908,3,0
34,52979,789,16327,7,1
22,33012,986,6540,7,1
38,30531,380,7467,2,0
55,-4363,470,17223,0,0
27,34133,576,15679,1,0
42,64141,326,9435,5,0
37,44312,350,-3705,5,0
49,43129,712,2767,0,1
22,27234,821,5229,1,1
30,18358,579,18684,0,0
31,61271,550,-13692,6,0
40,4578,533,12494,0,0
28,38690,747,1619,7,1
39,33904,527,20418,1,0
47,42352,838,18288,13,1
35,24614,621,-11392,2,0
31,4158,837,7281,0,1
32,38380,470,16747,2,0
49,45158,622,5798,2,0
32,5073,788,-8425,0,1
31,24917,751,3410,0,1
38,57439,954,25886,4,1
35,77611,550,-23128,8,0
36,35855,509,34148,0,0
28,7928,462,28419,0,0
30,3898,723,-11698,0,1
38,59074,806,27730,8,1
32,12137,627,25706,0,0
33,33520,529,-22728,4,0
41,10641,853,-8797,0,1
45,46578,436,19145,2,0
35,34648,873,20738,0,1
36,35297,710,1162,2,1
27,45643,743,19849,8,1
30,66308,497,-4144,6,0
40,18187,427,3347,1,0
32,25089,771,-11920,0,1
37,32108,757,-16531,8,1
37,42746,495,-24959,5,0
39,47180,428,8075,3,0
24,55091,713,22450,7,1
40,36067,747,-3660,6,1
36,35082,754,3239,2,1
37,17044,863,-2193,0,1
43,56944,842,14008,12,1
25,20556,845,6036,0,1
41,51591,595,34349,0,1
30,55849,682,26025,0,1
34,48753,594,-2067,3,0
37,54955,762,15677,6,1
26,55341,389,8873,4,0
32,20085,403,-4872,2,0
44,19522,469,-2682,2,0
44,22140,392,17625,1,0
34,24682,893,8545,3,1
20,10643,613,14769,0,0
26,54224,663,9778,4,1
34,10686,807,-10358,0,1
48,29648,555,7905,1,0
47,33529,490,-7319,3,0
43,9674,853,-4459,0,1
39,22544,637,-4683,1,0
37,47799,329,45065,1,0
45,-16001,636,6466,0,0
42,31716,984,25560,0,1
29,49456,681,18896,0,1
26,67025,622,23148,5,1
35,23625,910,13562,0,1
32,79630,507,16435,5,0
31,49539,463,5817,4,0
31,87478,468,-32966,10,0
43,51491,1003,23875,4,1
29,27372,707,704,3,1
30,27908,590,-9096,2,0
30,58700,546,27369,2,0
28,25629,687,16,0,1
27,40381,696,-5298,6,1
23,20144,666,-6653,1,1
41,55894,430,8763,4,0
24,43565,551,17727,2,0
48,17649,828,14883,0,1
48,53362,561,19943,2,0
36,-5226,644,-12682,0,1
38,49738,440,47936,0,0
37,43105,682,-5930,3,0
38,56633,808,20297,5,1
25,37127,491,5178,2,0
27,29798,604,12074,0,0
28,61440,624,19657,0,1
35,50549,952,21658,4,1
34,35592,488,5809,2,0
44,18323,323,-6998,3,0
36,28963,883,10966,1,1
32,54498,662,3492,3,0
32,80054,761,20465,15,1
36,39287,744,16697,0,1
38,16548,587,-16597,2,0
27,67715,725,14906,16,1
47,51924,667,7486,0,1
36,38891,731,-2992,8,1
