CustomerID,Age,TenureMonths,MonthlyCharges,TotalCharges,Contract,InternetService,TechSupport,PaymentMethod,PaperlessBilling,NumSupportTickets,Churn
C0001,38,20,70,1400,One year,DSL,Yes,Bank transfer,Yes,8,No
C0002,31,5,31,155,Month-to-month,DSL,Yes,Mailed check,Yes,1,No
C0003,32,8,93,744,One year,DSL,Yes,Electronic check,Yes,4,No
C0004,44,19,89,1691,Month-to-month,DSL,Yes,Electronic check,Yes,5,Yes
C0005,24,71,111,7881,Month-to-month,DSL,Yes,Mailed check,No,5,Yes
C0006,47,59,66,3894,Month-to-month,Fiber,Yes,Electronic check,No,8,No
C0007,49,44,113,4972,Month-to-month,Fiber,Yes,Electronic check,No,2,No
C0008,66,44,39,1716,Two year,DSL,Yes,Bank transfer,No,5,No
C0009,56,64,94,6016,One year,DSL,Yes,Bank transfer,No,1,No
C0010,21,40,102,4080,One year,Fiber,No,Bank transfer,No,5,No
C0011,19,60,65,3900,Month-to-month,DSL,Yes,Credit card,No,2,No
C0012,65,32,70,2240,Month-to-month,Fiber,Yes,Credit card,No,6,No
C0013,53,36,37,1332,Two year,Fiber,No,Mailed check,No,6,No
C0014,32,20,30,600,Month-to-month,DSL,Yes,Electronic check,No,2,No
C0015,34,37,20,740,Month-to-month,Fiber,No,Credit card,Yes,7,Yes
C0016,75,72,70,5040,Month-to-month,DSL,No,Mailed check,Yes,3,No
C0017,22,27,76,2052,Month-to-month,DSL,Yes,Electronic check,Yes,2,No
C0018,52,13,66,858,One year,DSL,Yes,Mailed check,Yes,4,No
C0019,40,47,80,3760,Month-to-month,Fiber,No,Mailed check,No,4,No
C0020,23,19,33,627,One year,Fiber,No,Credit card,Yes,3,No
C0021,51,47,38,1786,One year,None,No,Electronic check,No,8,No
C0022,41,22,65,1430,One year,Fiber,No,Credit card,Yes,3,No
C0023,70,52,114,5928,Two year,DSL,No,Bank transfer,Yes,0,No
C0024,68,36,80,2880,Month-to-month,Fiber,No,Mailed check,No,5,Yes
C0025,23,29,33,957,Month-to-month,DSL,Yes,Mailed check,Yes,7,No
C0026,59,45,102,4590,Month-to-month,Fiber,No,Credit card,No,2,No
C0027,45,43,31,1333,Two year,None,No,Mailed check,No,1,No
C0028,64,21,41,861,Two year,DSL,No,Credit card,No,5,No
C0029,27,71,90,6390,Month-to-month,DSL,Yes,Credit card,No,3,No
C0030,70,28,23,644,Month-to-month,DSL,Yes,Bank transfer,No,8,No
C0031,44,17,27,459,Two year,DSL,No,Mailed check,Yes,8,No
C0032,27,68,85,5780,Month-to-month,DSL,Yes,Electronic check,Yes,2,No
C0033,27,61,99,6039,One year,Fiber,No,Mailed check,Yes,8,No
C0034,21,32,44,1408,Month-to-month,Fiber,No,Electronic check,Yes,7,Yes
C0035,38,65,97,6305,Month-to-month,Fiber,No,Mailed check,Yes,8,Yes
C0036,74,34,91,3094,Two year,DSL,No,Credit card,No,1,No
C0037,43,57,60,3420,Month-to-month,DSL,Yes,Credit card,No,1,No
C0038,75,20,111,2220,One year,DSL,No,Credit card,No,3,No
C0039,65,13,70,910,Two year,DSL,Yes,Credit card,No,8,No
C0040,43,44,73,3212,Month-to-month,DSL,No,Electronic check,No,8,Yes
C0041,47,57,110,6270,Month-to-month,DSL,No,Electronic check,Yes,3,No
C0042,74,14,30,420,Month-to-month,DSL,Yes,Bank transfer,Yes,6,No
C0043,72,34,71,2414,Month-to-month,None,No,Bank transfer,Yes,4,No
C0044,21,24,74,1776,Two year,DSL,Yes,Electronic check,No,1,No
C0045,56,29,28,812,Month-to-month,DSL,Yes,Bank transfer,No,4,No
C0046,57,17,25,425,Month-to-month,DSL,Yes,Credit card,No,0,No
C0047,29,26,59,1534,One year,Fiber,Yes,Bank transfer,No,8,No
C0048,61,23,54,1242,Month-to-month,DSL,No,Electronic check,Yes,0,No
C0049,64,65,90,5850,Two year,Fiber,Yes,Mailed check,Yes,6,No
C0050,60,64,89,5696,Two year,DSL,No,Credit card,Yes,5,No
C0051,30,18,71,1278,Two year,None,Yes,Electronic check,Yes,4,No
C0052,45,21,27,567,Month-to-month,Fiber,No,Credit card,No,0,No
C0053,47,24,40,960,Month-to-month,DSL,No,Bank transfer,No,3,No
C0054,20,40,47,1880,Month-to-month,DSL,No,Electronic check,No,4,No
C0055,50,26,51,1326,Month-to-month,DSL,No,Electronic check,Yes,6,Yes
C0056,55,6,70,420,Month-to-month,DSL,Yes,Electronic check,Yes,6,Yes
C0057,66,42,112,4704,Two year,DSL,Yes,Electronic check,No,8,No
C0058,26,68,116,7888,Month-to-month,Fiber,Yes,Credit card,Yes,0,No
C0059,20,18,101,1818,Month-to-month,DSL,No,Electronic check,Yes,8,Yes
C0060,61,32,82,2624,Month-to-month,Fiber,Yes,Electronic check,Yes,7,Yes
C0061,34,10,53,530,Month-to-month,Fiber,Yes,Mailed check,No,6,Yes
C0062,22,62,107,6634,Month-to-month,DSL,Yes,Electronic check,Yes,5,Yes
C0063,34,39,99,3861,One year,DSL,Yes,Mailed check,No,1,No
C0064,62,28,106,2968,Month-to-month,Fiber,No,Mailed check,No,7,Yes
C0065,67,16,90,1440,Month-to-month,None,No,Electronic check,No,7,Yes
C0066,22,65,77,5005,Two year,DSL,Yes,Electronic check,Yes,2,No
